,Domain_x,Topic_x,Variable Name,Variable Label,cluster_labels,age,min,max,Risk,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,total
0,4. Physical infrastructure,Housing,ACS_PCT_HU_BUILT_1979,Percentage of housing units built before 1979,63,Yes,,,Transportation Risk,No,,No,,,,,,,,,
1,4. Physical infrastructure,Housing,ACS_PCT_HU_BUILT_1979,Percentage of housing units built before 1979,63,Yes,,,Housing Challenges,No,,No,,,,,,,,,
2,2. Economic context,Poverty,ACS_PCT_INC50_ABOVE65,Percentage of population with income to poverty ratio under 0.50 (ages 65 and over),173,Yes,65.0,-,financial Risk,No,,No,,,,,,,,,
3,2. Economic context,Income,ACS_PCT_INC50_BELOW17,Percentage of children with income to poverty ratio under 0.50  (ages 17 and below),173,Yes,0.0,17,financial Risk,No,,No,,,,,,,,,
4,5. Healthcare context,Health insurance status,ACS_PCT_MEDICAID_ANY_BELOW64,Percentage of population with any Medicaid/means-tested public health insurance coverage (ages 64 and below),43,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
5,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_ANY_BELOW64,Percentage of population with any private health insurance coverage (ages 64 and below),43,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
6,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_EMPL_BELOW64,Percentage of population with employer-based health insurance only (ages 64 and below),43,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
7,5. Healthcare context,Health insurance status,ACS_PCT_PRIVATE_SELF_BELOW64,Percentage of population with direct-purchase health insurance only (ages 64 and below),43,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
8,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_ABOVE65,Percentage of renter-occupied housing units occupied by householders aged 65 and above,55,Yes,65.0,-,Housing Challenges,No,,No,,,,,,,,,
9,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_ABOVE65,Percentage of renter-occupied housing units occupied by householders aged 65 and above,55,Yes,65.0,-,financial Risk,No,,No,,,,,,,,,
10,5. Healthcare context,Health insurance status,ACS_PCT_TRICARE_VA_BELOW64,Percentage of population with TRICARE/military or VA coverage only (ages 64 and below),153,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
11,5. Healthcare context,Health insurance status,ACS_PCT_UNINSURED_BELOW64,Percentage of population with no health insurance (ages 64 and below),43,Yes,0.0,64,financial Risk,No,,No,,,,,,,,,
12,5. Healthcare context,Health outcomes,CDCA_HEART_DTH_RATE_ABOVE35,"Total cardiovascular disease deaths per 100,000 population (ages 35 and over)",101,Yes,35.0,-,Disease Risk,No,,No,,,,,,,,,
13,5. Healthcare context,Health outcomes,CDCA_PREV_DTH_RATE_BELOW74,"Total avoidable heart disease and stroke deaths per 100,000 population (ages 74 and below)",101,Yes,0.0,74,Disease Risk,No,,No,,,,,,,,,
14,5. Healthcare context,Health outcomes,CDCA_STROKE_DTH_RATE_ABOVE35,"Total stroke deaths per 100,000 population (ages 35 and over)",101,Yes,35.0,-,Disease Risk,No,,No,,,,,,,,,
15,5. Healthcare context,Health Outcomes,CDCP_ARTHRITIS_ADULT_A,Age-adjusted prevalence of arthritis among adults aged 18 years and older (%),196,Yes,18.0,-,Disease Risk,No,,No,,,,,,,,,
16,5. Healthcare context,Health Outcomes,CDCP_ASTHMA_ADULT_A,Age-adjusted prevalence of current asthma among adults aged 18 years and older (%),111,Yes,18.0,-,Disease Risk,No,,No,,,,,,,,,
17,5. Healthcare context,Health Behaviors,CDCP_BLOOD_MED_ADULT_A,Age-adjusted prevalence of adults aged 18 years and older with high blood pressure taking medicine for high blood pressure control (%),179,Yes,18.0,-,Disease Risk,No,,No,,,,,,,,,
18,5. Healthcare context,Health Behaviors,CDCP_SLEEP_LESS7HR_ADULT_A,Age-adjusted prevalence of adults aged 18 years and older who report usually getting less than 7 hours of sleep (%),169,Yes,18.0,-,Lifestyle,No,,No,,,,,,,,,
19,5. Healthcare context,Health Outcomes,CDC_USCS_AGE_ADJ_INC_RATE,"Total age-adjusted cancer incidence per 100,000 people in the county",48,Yes,,,Disease Risk,No,,No,,,,,,,,,
20,5. Healthcare context,Health Outcomes,CDC_USCS_AGE_ADJ_MORT_RATE,"Total age-adjusted cancer mortality per 100,000 people in the county",48,Yes,,,Disease Risk,No,,No,,,,,,,,,
